checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,present_employment_since,installment_rate,personal_status_sex,other_debtors,present_residence_since,property,age,other_installment_plans,housing,num_existing_credits,job,num_dependents,telephone,foreign_worker,credit_risk
Sin cuenta,24,Retraso en pagos en el pasado,Muebles/Equipo,4151,100 - 500 DM,1 - 4 años,2,Hombre: soltero,Ninguno,3,Seguro de vida / Ahorro para vivienda,35,Ninguno,Propia,2,Empleado calificado / oficial,1,No,Sí,Buen Pagador
0 - 200 DM,9,Créditos existentes pagados hasta ahora,Muebles/Equipo,2030,Desconocido / Sin ahorros,4 - 7 años,2,Hombre: soltero,Ninguno,1,Auto u otro,24,Ninguno,Propia,1,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
0 - 200 DM,60,Retraso en pagos en el pasado,Radio/TV,7418,Desconocido / Sin ahorros,1 - 4 años,1,Hombre: soltero,Ninguno,1,Bienes raíces,27,Ninguno,Propia,1,No calificado - residente,1,No,Sí,Buen Pagador
Sin cuenta,24,Cuenta crítica / Otros créditos,Radio/TV,2684,< 100 DM,1 - 4 años,4,Hombre: soltero,Ninguno,2,Bienes raíces,35,Ninguno,Propia,2,No calificado - residente,1,No,Sí,Buen Pagador
< 0 DM,12,Todos los créditos en este banco pagados,Radio/TV,2149,< 100 DM,1 - 4 años,4,Hombre: divorciado/separado,Ninguno,1,Desconocido / Sin propiedad,29,Ninguno,Gratis,1,Empleado calificado / oficial,1,No,Sí,Mal Pagador
Sin cuenta,15,Créditos existentes pagados hasta ahora,Auto (usado),3812,100 - 500 DM,< 1 año,1,Mujer: divorciada/separada/casada,Ninguno,4,Auto u otro,23,Ninguno,Propia,1,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
Sin cuenta,11,Cuenta crítica / Otros créditos,Radio/TV,1154,100 - 500 DM,Desempleado,4,Mujer: divorciada/separada/casada,Ninguno,4,Bienes raíces,57,Ninguno,Propia,3,No calificado - residente,1,No,Sí,Buen Pagador
< 0 DM,12,Créditos existentes pagados hasta ahora,Muebles/Equipo,1657,< 100 DM,1 - 4 años,2,Hombre: soltero,Ninguno,2,Bienes raíces,27,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
< 0 DM,24,Créditos existentes pagados hasta ahora,Radio/TV,1603,< 100 DM,>= 7 años,4,Mujer: divorciada/separada/casada,Ninguno,4,Auto u otro,55,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
< 0 DM,18,Cuenta crítica / Otros créditos,Auto (nuevo),5302,< 100 DM,>= 7 años,2,Hombre: soltero,Ninguno,4,Desconocido / Sin propiedad,36,Ninguno,Gratis,3,Gerencia / Autoempleado / Altamente calificado,1,Sí,Sí,Buen Pagador
Sin cuenta,12,Cuenta crítica / Otros créditos,Educación,2748,< 100 DM,>= 7 años,2,Mujer: divorciada/separada/casada,Ninguno,4,Desconocido / Sin propiedad,57,Banco,Gratis,3,No calificado - residente,1,No,Sí,Buen Pagador
Sin cuenta,10,Cuenta crítica / Otros créditos,Auto (nuevo),1231,< 100 DM,>= 7 años,3,Hombre: soltero,Ninguno,4,Bienes raíces,32,Ninguno,Propia,2,No calificado - residente,2,No,No,Buen Pagador
0 - 200 DM,15,Créditos existentes pagados hasta ahora,Radio/TV,802,< 100 DM,>= 7 años,4,Hombre: soltero,Ninguno,3,Auto u otro,37,Ninguno,Propia,1,Empleado calificado / oficial,2,No,Sí,Mal Pagador
Sin cuenta,36,Cuenta crítica / Otros créditos,Negocios,6304,Desconocido / Sin ahorros,>= 7 años,4,Hombre: soltero,Ninguno,4,Bienes raíces,36,Ninguno,Propia,2,Empleado calificado / oficial,1,No,Sí,Buen Pagador
Sin cuenta,24,Créditos existentes pagados hasta ahora,Radio/TV,1533,< 100 DM,< 1 año,4,Mujer: divorciada/separada/casada,Ninguno,3,Auto u otro,38,Tiendas,Propia,1,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
< 0 DM,14,Créditos existentes pagados hasta ahora,Auto (nuevo),8978,< 100 DM,>= 7 años,1,Hombre: divorciado/separado,Ninguno,4,Seguro de vida / Ahorro para vivienda,45,Ninguno,Propia,1,Gerencia / Autoempleado / Altamente calificado,1,Sí,No,Mal Pagador
Sin cuenta,24,Créditos existentes pagados hasta ahora,Radio/TV,999,Desconocido / Sin ahorros,>= 7 años,4,Hombre: soltero,Ninguno,2,Auto u otro,25,Ninguno,Propia,2,Empleado calificado / oficial,1,No,Sí,Buen Pagador
Sin cuenta,18,Créditos existentes pagados hasta ahora,Auto (nuevo),2662,Desconocido / Sin ahorros,4 - 7 años,4,Hombre: soltero,Ninguno,3,Seguro de vida / Ahorro para vivienda,32,Ninguno,Propia,1,Empleado calificado / oficial,1,No,No,Buen Pagador
Sin cuenta,12,Cuenta crítica / Otros créditos,Muebles/Equipo,1402,500 - 1000 DM,4 - 7 años,3,Mujer: divorciada/separada/casada,Ninguno,4,Auto u otro,37,Ninguno,Alquiler,1,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
0 - 200 DM,48,Todos los créditos en este banco pagados,Auto (nuevo),12169,Desconocido / Sin ahorros,Desempleado,4,Hombre: soltero,Co-solicitante,4,Desconocido / Sin propiedad,36,Ninguno,Gratis,1,Gerencia / Autoempleado / Altamente calificado,1,Sí,Sí,Buen Pagador
0 - 200 DM,48,Créditos existentes pagados hasta ahora,Radio/TV,3060,< 100 DM,4 - 7 años,4,Hombre: soltero,Ninguno,4,Bienes raíces,28,Ninguno,Propia,2,Empleado calificado / oficial,1,No,Sí,Mal Pagador
< 0 DM,30,Créditos existentes pagados hasta ahora,Reparaciones,11998,< 100 DM,< 1 año,1,Hombre: divorciado/separado,Ninguno,1,Desconocido / Sin propiedad,34,Ninguno,Propia,1,No calificado - residente,1,Sí,Sí,Mal Pagador
Sin cuenta,9,Créditos existentes pagados hasta ahora,Radio/TV,2697,< 100 DM,1 - 4 años,1,Hombre: soltero,Ninguno,2,Bienes raíces,32,Ninguno,Propia,1,Empleado calificado / oficial,2,No,Sí,Buen Pagador
Sin cuenta,18,Cuenta crítica / Otros créditos,Radio/TV,2404,< 100 DM,1 - 4 años,2,Mujer: divorciada/separada/casada,Ninguno,2,Auto u otro,26,Ninguno,Propia,2,Empleado calificado / oficial,1,No,Sí,Buen Pagador
< 0 DM,12,Créditos existentes pagados hasta ahora,Muebles/Equipo,1262,Desconocido / Sin ahorros,>= 7 años,2,Hombre: divorciado/separado,Ninguno,4,Seguro de vida / Ahorro para vivienda,49,Ninguno,Propia,1,No calificado - residente,1,Sí,Sí,Buen Pagador
Sin cuenta,6,Créditos existentes pagados hasta ahora,Muebles/Equipo,4611,< 100 DM,< 1 año,1,Mujer: divorciada/separada/casada,Ninguno,4,Seguro de vida / Ahorro para vivienda,32,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Mal Pagador
Sin cuenta,24,Créditos existentes pagados hasta ahora,Radio/TV,1901,100 - 500 DM,1 - 4 años,4,Hombre: soltero,Ninguno,4,Auto u otro,29,Ninguno,Alquiler,1,Gerencia / Autoempleado / Altamente calificado,1,Sí,Sí,Buen Pagador
Sin cuenta,15,Cuenta crítica / Otros créditos,Auto (usado),3368,>= 1000 DM,>= 7 años,3,Hombre: soltero,Ninguno,4,Desconocido / Sin propiedad,23,Ninguno,Alquiler,2,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
Sin cuenta,12,Créditos existentes pagados hasta ahora,Muebles/Equipo,1574,< 100 DM,1 - 4 años,4,Hombre: soltero,Ninguno,2,Bienes raíces,50,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
>= 200 DM,18,Todos los créditos en este banco pagados,Radio/TV,1445,Desconocido / Sin ahorros,4 - 7 años,4,Hombre: soltero,Ninguno,4,Auto u otro,49,Banco,Propia,1,No calificado - residente,1,No,Sí,Buen Pagador
Sin cuenta,15,Cuenta crítica / Otros créditos,Muebles/Equipo,1520,Desconocido / Sin ahorros,>= 7 años,4,Hombre: soltero,Ninguno,4,Seguro de vida / Ahorro para vivienda,63,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
0 - 200 DM,24,Cuenta crítica / Otros créditos,Auto (nuevo),3878,100 - 500 DM,< 1 año,4,Hombre: divorciado/separado,Ninguno,2,Auto u otro,37,Ninguno,Propia,1,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
< 0 DM,47,Créditos existentes pagados hasta ahora,Auto (nuevo),10722,< 100 DM,< 1 año,1,Mujer: divorciada/separada/casada,Ninguno,1,Bienes raíces,35,Ninguno,Propia,1,No calificado - residente,1,Sí,Sí,Buen Pagador
< 0 DM,48,Créditos existentes pagados hasta ahora,Auto (usado),4788,< 100 DM,4 - 7 años,4,Hombre: soltero,Ninguno,3,Seguro de vida / Ahorro para vivienda,26,Ninguno,Propia,1,Empleado calificado / oficial,2,No,Sí,Buen Pagador
0 - 200 DM,48,Retraso en pagos en el pasado,Otros,7582,100 - 500 DM,Desempleado,2,Hombre: soltero,Ninguno,4,Desconocido / Sin propiedad,31,Ninguno,Gratis,1,Gerencia / Autoempleado / Altamente calificado,1,Sí,Sí,Buen Pagador
0 - 200 DM,12,Créditos existentes pagados hasta ahora,Radio/TV,1092,< 100 DM,1 - 4 años,4,Mujer: divorciada/separada/casada,Garante,4,Bienes raíces,49,Ninguno,Propia,2,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
< 0 DM,24,Retraso en pagos en el pasado,Radio/TV,1024,< 100 DM,< 1 año,4,Hombre: casado/viudo,Ninguno,4,Bienes raíces,48,Tiendas,Propia,1,Empleado calificado / oficial,1,No,Sí,Mal Pagador
Sin cuenta,12,Créditos existentes pagados hasta ahora,Negocios,1076,< 100 DM,1 - 4 años,2,Hombre: casado/viudo,Ninguno,2,Bienes raíces,26,Ninguno,Propia,1,Empleado calificado / oficial,1,Sí,No,Buen Pagador
0 - 200 DM,36,Créditos existentes pagados hasta ahora,Auto (usado),9398,< 100 DM,< 1 año,1,Hombre: casado/viudo,Ninguno,4,Auto u otro,28,Ninguno,Alquiler,1,Gerencia / Autoempleado / Altamente calificado,1,Sí,Sí,Mal Pagador
< 0 DM,24,Cuenta crítica / Otros créditos,Auto (usado),6419,< 100 DM,>= 7 años,2,Mujer: divorciada/separada/casada,Ninguno,4,Desconocido / Sin propiedad,44,Ninguno,Gratis,2,Gerencia / Autoempleado / Altamente calificado,2,Sí,Sí,Buen Pagador
>= 200 DM,42,Cuenta crítica / Otros créditos,Auto (usado),4796,< 100 DM,>= 7 años,4,Hombre: soltero,Ninguno,4,Desconocido / Sin propiedad,56,Ninguno,Gratis,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
Sin cuenta,48,Cuenta crítica / Otros créditos,Negocios,7629,Desconocido / Sin ahorros,>= 7 años,4,Hombre: divorciado/separado,Ninguno,2,Auto u otro,46,Banco,Propia,2,Gerencia / Autoempleado / Altamente calificado,2,No,Sí,Buen Pagador
0 - 200 DM,48,Créditos existentes pagados hasta ahora,Muebles/Equipo,9960,< 100 DM,< 1 año,1,Mujer: divorciada/separada/casada,Ninguno,2,Auto u otro,26,Ninguno,Propia,1,Empleado calificado / oficial,1,Sí,Sí,Mal Pagador
Sin cuenta,12,Créditos existentes pagados hasta ahora,Auto (usado),4675,Desconocido / Sin ahorros,< 1 año,1,Mujer: divorciada/separada/casada,Ninguno,4,Auto u otro,20,Ninguno,Alquiler,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
Sin cuenta,10,Créditos existentes pagados hasta ahora,Auto (nuevo),1287,Desconocido / Sin ahorros,>= 7 años,4,Hombre: soltero,Co-solicitante,2,Seguro de vida / Ahorro para vivienda,45,Ninguno,Propia,1,No calificado - residente,1,No,No,Buen Pagador
Sin cuenta,18,Créditos existentes pagados hasta ahora,Muebles/Equipo,2515,< 100 DM,1 - 4 años,3,Hombre: soltero,Ninguno,4,Bienes raíces,43,Ninguno,Propia,1,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
0 - 200 DM,21,Cuenta crítica / Otros créditos,Muebles/Equipo,2745,>= 1000 DM,4 - 7 años,3,Hombre: soltero,Ninguno,2,Auto u otro,32,Ninguno,Propia,2,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
Sin cuenta,6,Créditos existentes pagados hasta ahora,Auto (nuevo),672,< 100 DM,Desempleado,1,Mujer: divorciada/separada/casada,Ninguno,4,Bienes raíces,54,Ninguno,Propia,1,No calificado - no residente,1,Sí,Sí,Buen Pagador
0 - 200 DM,36,Sin créditos / Todos pagados,Radio/TV,3804,< 100 DM,1 - 4 años,4,Mujer: divorciada/separada/casada,Ninguno,1,Auto u otro,42,Ninguno,Propia,1,Empleado calificado / oficial,1,Sí,Sí,Mal Pagador
>= 200 DM,24,Cuenta crítica / Otros créditos,Auto (nuevo),1344,Desconocido / Sin ahorros,4 - 7 años,4,Hombre: soltero,Ninguno,2,Bienes raíces,37,Banco,Propia,2,No calificado - residente,2,No,Sí,Mal Pagador
< 0 DM,10,Cuenta crítica / Otros créditos,Auto (nuevo),1038,< 100 DM,4 - 7 años,4,Hombre: soltero,Co-solicitante,3,Seguro de vida / Ahorro para vivienda,49,Ninguno,Propia,2,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
Sin cuenta,48,Cuenta crítica / Otros créditos,Auto (nuevo),10127,500 - 1000 DM,1 - 4 años,2,Hombre: soltero,Ninguno,2,Desconocido / Sin propiedad,44,Banco,Gratis,1,Empleado calificado / oficial,1,No,Sí,Mal Pagador
Sin cuenta,6,Créditos existentes pagados hasta ahora,Muebles/Equipo,1543,>= 1000 DM,1 - 4 años,4,Hombre: divorciado/separado,Ninguno,2,Bienes raíces,33,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
Sin cuenta,30,Créditos existentes pagados hasta ahora,Auto (usado),4811,Desconocido / Sin ahorros,4 - 7 años,2,Mujer: divorciada/separada/casada,Ninguno,4,Seguro de vida / Ahorro para vivienda,24,Tiendas,Alquiler,1,No calificado - residente,1,No,Sí,Buen Pagador
< 0 DM,12,Créditos existentes pagados hasta ahora,Radio/TV,727,100 - 500 DM,< 1 año,4,Hombre: casado/viudo,Ninguno,3,Desconocido / Sin propiedad,33,Ninguno,Propia,1,No calificado - residente,1,Sí,Sí,Mal Pagador
0 - 200 DM,8,Créditos existentes pagados hasta ahora,Muebles/Equipo,1237,< 100 DM,1 - 4 años,3,Mujer: divorciada/separada/casada,Ninguno,4,Bienes raíces,24,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Mal Pagador
0 - 200 DM,9,Créditos existentes pagados hasta ahora,Auto (nuevo),276,< 100 DM,1 - 4 años,4,Hombre: casado/viudo,Ninguno,4,Bienes raíces,22,Ninguno,Alquiler,1,No calificado - residente,1,No,Sí,Buen Pagador
0 - 200 DM,48,Créditos existentes pagados hasta ahora,Otros,5381,Desconocido / Sin ahorros,Desempleado,3,Hombre: soltero,Ninguno,4,Desconocido / Sin propiedad,40,Banco,Gratis,1,No calificado - no residente,1,Sí,Sí,Buen Pagador
Sin cuenta,24,Créditos existentes pagados hasta ahora,Muebles/Equipo,5511,100 - 500 DM,1 - 4 años,4,Hombre: soltero,Ninguno,1,Auto u otro,25,Tiendas,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
>= 200 DM,24,Créditos existentes pagados hasta ahora,Muebles/Equipo,3749,< 100 DM,< 1 año,2,Mujer: divorciada/separada/casada,Ninguno,4,Auto u otro,26,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
0 - 200 DM,12,Créditos existentes pagados hasta ahora,Auto (nuevo),685,< 100 DM,4 - 7 años,2,Hombre: casado/viudo,Ninguno,3,Auto u otro,25,Banco,Propia,1,No calificado - residente,1,No,Sí,Mal Pagador
>= 200 DM,4,Créditos existentes pagados hasta ahora,Auto (nuevo),1494,Desconocido / Sin ahorros,< 1 año,1,Hombre: soltero,Ninguno,2,Bienes raíces,29,Ninguno,Propia,1,No calificado - residente,2,No,No,Buen Pagador
< 0 DM,36,Todos los créditos en este banco pagados,Muebles/Equipo,2746,< 100 DM,>= 7 años,4,Hombre: soltero,Ninguno,4,Auto u otro,31,Banco,Propia,1,Empleado calificado / oficial,1,No,Sí,Mal Pagador
< 0 DM,12,Créditos existentes pagados hasta ahora,Muebles/Equipo,708,< 100 DM,1 - 4 años,2,Hombre: soltero,Garante,3,Seguro de vida / Ahorro para vivienda,38,Ninguno,Propia,1,No calificado - residente,2,No,Sí,Buen Pagador
0 - 200 DM,24,Créditos existentes pagados hasta ahora,Muebles/Equipo,4351,Desconocido / Sin ahorros,1 - 4 años,1,Mujer: divorciada/separada/casada,Ninguno,4,Seguro de vida / Ahorro para vivienda,48,Ninguno,Propia,1,No calificado - residente,1,Sí,Sí,Buen Pagador
Sin cuenta,12,Cuenta crítica / Otros créditos,Educación,701,< 100 DM,1 - 4 años,4,Hombre: soltero,Ninguno,2,Auto u otro,32,Ninguno,Propia,2,Empleado calificado / oficial,1,No,Sí,Buen Pagador
< 0 DM,15,Retraso en pagos en el pasado,Muebles/Equipo,3643,< 100 DM,>= 7 años,1,Mujer: divorciada/separada/casada,Ninguno,4,Seguro de vida / Ahorro para vivienda,27,Ninguno,Propia,2,No calificado - residente,1,No,Sí,Buen Pagador
0 - 200 DM,30,Cuenta crítica / Otros créditos,Auto (nuevo),4249,< 100 DM,Desempleado,4,Hombre: casado/viudo,Ninguno,2,Auto u otro,28,Ninguno,Propia,2,Gerencia / Autoempleado / Altamente calificado,1,No,Sí,Mal Pagador
< 0 DM,24,Créditos existentes pagados hasta ahora,Radio/TV,1938,< 100 DM,< 1 año,4,Hombre: divorciado/separado,Ninguno,3,Seguro de vida / Ahorro para vivienda,32,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Mal Pagador
< 0 DM,24,Créditos existentes pagados hasta ahora,Auto (usado),2910,< 100 DM,4 - 7 años,2,Hombre: soltero,Ninguno,1,Desconocido / Sin propiedad,34,Ninguno,Gratis,1,Gerencia / Autoempleado / Altamente calificado,1,Sí,Sí,Buen Pagador
< 0 DM,18,Créditos existentes pagados hasta ahora,Muebles/Equipo,2659,>= 1000 DM,1 - 4 años,4,Hombre: soltero,Ninguno,2,Auto u otro,28,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
Sin cuenta,18,Cuenta crítica / Otros créditos,Auto (nuevo),1028,< 100 DM,1 - 4 años,4,Mujer: divorciada/separada/casada,Ninguno,3,Bienes raíces,36,Ninguno,Propia,2,Empleado calificado / oficial,1,No,Sí,Buen Pagador
< 0 DM,8,Cuenta crítica / Otros créditos,Auto (nuevo),3398,< 100 DM,4 - 7 años,1,Hombre: soltero,Ninguno,4,Bienes raíces,39,Ninguno,Propia,2,No calificado - residente,1,No,No,Buen Pagador
Sin cuenta,12,Cuenta crítica / Otros créditos,Muebles/Equipo,5801,Desconocido / Sin ahorros,>= 7 años,2,Hombre: soltero,Ninguno,4,Seguro de vida / Ahorro para vivienda,49,Ninguno,Alquiler,1,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
Sin cuenta,24,Créditos existentes pagados hasta ahora,Auto (nuevo),1525,>= 1000 DM,4 - 7 años,4,Mujer: divorciada/separada/casada,Ninguno,3,Auto u otro,34,Ninguno,Propia,1,Empleado calificado / oficial,2,Sí,Sí,Buen Pagador
>= 200 DM,36,Créditos existentes pagados hasta ahora,Radio/TV,4473,< 100 DM,>= 7 años,4,Hombre: soltero,Ninguno,2,Auto u otro,31,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
0 - 200 DM,6,Créditos existentes pagados hasta ahora,Radio/TV,1068,< 100 DM,>= 7 años,4,Hombre: soltero,Ninguno,4,Auto u otro,28,Ninguno,Propia,1,Empleado calificado / oficial,2,No,Sí,Buen Pagador
< 0 DM,24,Cuenta crítica / Otros créditos,Auto (usado),6615,< 100 DM,Desempleado,2,Hombre: soltero,Ninguno,4,Desconocido / Sin propiedad,75,Ninguno,Gratis,2,Gerencia / Autoempleado / Altamente calificado,1,Sí,Sí,Buen Pagador
Sin cuenta,18,Cuenta crítica / Otros créditos,Educación,1864,100 - 500 DM,1 - 4 años,4,Mujer: divorciada/separada/casada,Ninguno,2,Bienes raíces,30,Ninguno,Propia,2,Empleado calificado / oficial,1,No,Sí,Mal Pagador
0 - 200 DM,60,Créditos existentes pagados hasta ahora,Auto (nuevo),7408,100 - 500 DM,< 1 año,4,Mujer: divorciada/separada/casada,Ninguno,2,Seguro de vida / Ahorro para vivienda,24,Ninguno,Propia,1,Gerencia / Autoempleado / Altamente calificado,1,No,Sí,Mal Pagador
Sin cuenta,48,Cuenta crítica / Otros créditos,Auto (usado),11590,100 - 500 DM,1 - 4 años,2,Mujer: divorciada/separada/casada,Ninguno,4,Auto u otro,24,Banco,Alquiler,2,No calificado - residente,1,No,Sí,Mal Pagador
< 0 DM,24,Sin créditos / Todos pagados,Muebles/Equipo,4110,< 100 DM,>= 7 años,3,Hombre: soltero,Ninguno,4,Desconocido / Sin propiedad,23,Banco,Alquiler,2,Empleado calificado / oficial,2,No,Sí,Mal Pagador
< 0 DM,6,Cuenta crítica / Otros créditos,Muebles/Equipo,3384,< 100 DM,1 - 4 años,1,Hombre: divorciado/separado,Ninguno,4,Bienes raíces,44,Ninguno,Alquiler,1,Gerencia / Autoempleado / Altamente calificado,1,Sí,Sí,Mal Pagador
0 - 200 DM,13,Créditos existentes pagados hasta ahora,Radio/TV,2101,< 100 DM,< 1 año,2,Mujer: divorciada/separada/casada,Garante,4,Seguro de vida / Ahorro para vivienda,23,Ninguno,Propia,1,No calificado - residente,1,No,Sí,Buen Pagador
< 0 DM,15,Créditos existentes pagados hasta ahora,Electrodomésticos,1275,Desconocido / Sin ahorros,1 - 4 años,4,Mujer: divorciada/separada/casada,Ninguno,2,Auto u otro,24,Ninguno,Alquiler,1,Empleado calificado / oficial,1,No,Sí,Mal Pagador
< 0 DM,24,Créditos existentes pagados hasta ahora,Muebles/Equipo,4169,< 100 DM,1 - 4 años,4,Hombre: soltero,Ninguno,4,Seguro de vida / Ahorro para vivienda,28,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
0 - 200 DM,10,Créditos existentes pagados hasta ahora,Muebles/Equipo,1521,< 100 DM,1 - 4 años,4,Hombre: divorciado/separado,Ninguno,2,Auto u otro,31,Ninguno,Propia,1,No calificado - residente,1,No,Sí,Buen Pagador
0 - 200 DM,24,Cuenta crítica / Otros créditos,Educación,5743,< 100 DM,< 1 año,2,Mujer: divorciada/separada/casada,Ninguno,4,Desconocido / Sin propiedad,24,Ninguno,Gratis,2,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
< 0 DM,21,Créditos existentes pagados hasta ahora,Muebles/Equipo,3599,< 100 DM,4 - 7 años,1,Mujer: divorciada/separada/casada,Ninguno,4,Auto u otro,26,Ninguno,Alquiler,1,No calificado - residente,1,No,Sí,Buen Pagador
0 - 200 DM,18,Créditos existentes pagados hasta ahora,Radio/TV,3213,500 - 1000 DM,< 1 año,1,Hombre: casado/viudo,Ninguno,3,Bienes raíces,25,Ninguno,Alquiler,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
0 - 200 DM,18,Créditos existentes pagados hasta ahora,Negocios,4439,< 100 DM,>= 7 años,1,Hombre: soltero,Co-solicitante,1,Bienes raíces,33,Banco,Propia,1,Gerencia / Autoempleado / Altamente calificado,1,Sí,Sí,Buen Pagador
>= 200 DM,10,Créditos existentes pagados hasta ahora,Auto (nuevo),3949,< 100 DM,< 1 año,1,Hombre: soltero,Garante,1,Seguro de vida / Ahorro para vivienda,37,Ninguno,Propia,1,No calificado - residente,2,No,Sí,Buen Pagador
Sin cuenta,15,Cuenta crítica / Otros créditos,Radio/TV,1459,< 100 DM,1 - 4 años,4,Mujer: divorciada/separada/casada,Ninguno,2,Auto u otro,43,Ninguno,Propia,1,No calificado - residente,1,No,Sí,Buen Pagador
0 - 200 DM,13,Cuenta crítica / Otros créditos,Radio/TV,882,< 100 DM,< 1 año,4,Hombre: soltero,Garante,4,Bienes raíces,23,Ninguno,Propia,2,Empleado calificado / oficial,1,No,Sí,Buen Pagador
0 - 200 DM,24,Créditos existentes pagados hasta ahora,Radio/TV,3758,500 - 1000 DM,Desempleado,1,Mujer: divorciada/separada/casada,Ninguno,4,Desconocido / Sin propiedad,23,Ninguno,Alquiler,1,No calificado - no residente,1,No,Sí,Buen Pagador
Sin cuenta,6,Retraso en pagos en el pasado,Negocios,1743,100 - 500 DM,1 - 4 años,1,Hombre: soltero,Ninguno,2,Bienes raíces,34,Ninguno,Propia,2,No calificado - residente,1,No,Sí,Buen Pagador
0 - 200 DM,9,Cuenta crítica / Otros créditos,Educación,1136,>= 1000 DM,>= 7 años,4,Hombre: soltero,Ninguno,3,Desconocido / Sin propiedad,32,Ninguno,Gratis,2,Empleado calificado / oficial,2,No,Sí,Mal Pagador
Sin cuenta,9,Créditos existentes pagados hasta ahora,Electrodomésticos,1236,< 100 DM,< 1 año,1,Mujer: divorciada/separada/casada,Ninguno,4,Bienes raíces,23,Ninguno,Alquiler,1,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
0 - 200 DM,9,Créditos existentes pagados hasta ahora,Muebles/Equipo,959,< 100 DM,1 - 4 años,1,Mujer: divorciada/separada/casada,Ninguno,2,Auto u otro,29,Ninguno,Propia,1,Empleado calificado / oficial,1,No,No,Mal Pagador
Sin cuenta,18,Cuenta crítica / Otros créditos,Auto (usado),3229,Desconocido / Sin ahorros,Desempleado,2,Hombre: soltero,Ninguno,4,Desconocido / Sin propiedad,38,Ninguno,Propia,1,Gerencia / Autoempleado / Altamente calificado,1,Sí,Sí,Buen Pagador
< 0 DM,12,Sin créditos / Todos pagados,Radio/TV,6199,< 100 DM,1 - 4 años,4,Hombre: soltero,Ninguno,2,Seguro de vida / Ahorro para vivienda,28,Ninguno,Alquiler,2,Empleado calificado / oficial,1,Sí,Sí,Mal Pagador
Sin cuenta,10,Créditos existentes pagados hasta ahora,Educación,727,500 - 1000 DM,>= 7 años,4,Hombre: soltero,Ninguno,4,Desconocido / Sin propiedad,46,Ninguno,Gratis,1,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
0 - 200 DM,24,Créditos existentes pagados hasta ahora,Auto (nuevo),1246,< 100 DM,< 1 año,4,Hombre: soltero,Ninguno,2,Bienes raíces,23,Tiendas,Propia,1,No calificado - residente,1,No,Sí,Mal Pagador
Sin cuenta,12,Cuenta crítica / Otros créditos,Radio/TV,2331,Desconocido / Sin ahorros,>= 7 años,1,Hombre: soltero,Co-solicitante,4,Bienes raíces,49,Ninguno,Propia,1,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
Sin cuenta,36,Retraso en pagos en el pasado,Radio/TV,4463,< 100 DM,1 - 4 años,4,Hombre: soltero,Ninguno,2,Auto u otro,26,Ninguno,Propia,2,Gerencia / Autoempleado / Altamente calificado,1,Sí,Sí,Mal Pagador
Sin cuenta,12,Créditos existentes pagados hasta ahora,Radio/TV,776,< 100 DM,1 - 4 años,4,Hombre: casado/viudo,Ninguno,2,Bienes raíces,28,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
< 0 DM,30,Créditos existentes pagados hasta ahora,Muebles/Equipo,2406,< 100 DM,4 - 7 años,4,Mujer: divorciada/separada/casada,Ninguno,4,Bienes raíces,23,Ninguno,Alquiler,1,Empleado calificado / oficial,1,No,Sí,Mal Pagador
